feature,chi2_score,p_value
hi techies,0.16219100449593948,0.6871472713689596
italian flatmates,0.16219100449593948,0.6871472713689596
reinstall xp,0.16219100449593948,0.6871472713689596
shit,0.16219100449593948,0.6871472713689596
uk order,0.16219100449593948,0.6871472713689596
pavillion s7720,0.16219100449593948,0.6871472713689596
pci device,0.16219100449593948,0.6871472713689596
importantly connect,0.16219100449593948,0.6871472713689596
run vista,0.16219100449593948,0.6871472713689596
machine house,0.16219100449593948,0.6871472713689596
sure machine,0.16219100449593948,0.6871472713689596
complicated help,0.16219100449593948,0.6871472713689596
royal pain,0.16219100449593948,0.6871472713689596
driving round,0.16219100449593948,0.6871472713689596
drivers importantly,0.16219100449593948,0.6871472713689596
drivers pci,0.16219100449593948,0.6871472713689596
machine complicated,0.16219100449593948,0.6871472713689596
ridden,0.16219100449593948,0.6871472713689596
ridden piece,0.16219100449593948,0.6871472713689596
appreciated richard,0.16219100449593948,0.6871472713689596
richard rocky,0.16219100449593948,0.6871472713689596
land recently,0.16219100449593948,0.6871472713689596
flatmates,0.16219100449593948,0.6871472713689596
vista driving,0.16219100449593948,0.6871472713689596
machine intended,0.16219100449593948,0.6871472713689596
bend,0.16219100449593948,0.6871472713689596
device pci,0.16219100449593948,0.6871472713689596
connect internet,0.16219100449593948,0.6871472713689596
video controller,0.16219100449593948,0.6871472713689596
